id,driverRef,season,roundId,raceName,lap,time,position
4843,max_verstappen,2017,2,Chinese Grand Prix,40,97.569,3
4844,ricciardo,2017,2,Chinese Grand Prix,40,96.819,4
4845,sainz,2017,2,Chinese Grand Prix,40,97.971,5
4846,raikkonen,2017,2,Chinese Grand Prix,40,117.644,6
4847,bottas,2017,2,Chinese Grand Prix,40,96.066,7
4848,perez,2017,2,Chinese Grand Prix,40,99.169,8
4849,kevin_magnussen,2017,2,Chinese Grand Prix,40,97.886,9
4850,ocon,2017,2,Chinese Grand Prix,40,100.673,10
4851,massa,2017,2,Chinese Grand Prix,40,99.073,11
4852,grosjean,2017,2,Chinese Grand Prix,40,97.949,12
4853,hulkenberg,2017,2,Chinese Grand Prix,40,98.452,13
4854,jolyon_palmer,2017,2,Chinese Grand Prix,40,100.055,14
4855,ericsson,2017,2,Chinese Grand Prix,40,99.832,15
4856,hamilton,2017,2,Chinese Grand Prix,41,95.798,1
4857,vettel,2017,2,Chinese Grand Prix,41,95.614,2
